precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ofertado_como,ciudad,zona,provincia,dpto
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
